"_raw","_time",a,"ajax_page_request","ajax_request",bytes,clientip,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",db,eventtype,"favorite_table",file,goto,host,ident,index,l,lang,linecount,method,"no_debug",nocache,onclick,onerror,onload,other,pos,punct,"recent_table",referer,"referer_domain","req_time",root,route,server,source,sourcetype,"splunk_server","splunk_server_group",src,status,"sync_favorite_tables",table,tag,"tag::eventtype",timeendpos,timestartpos,token,uri,"uri_domain","uri_path","uri_query",user,useragent,v,vRxe,version,x
"223.237.49.95 - - [30/May/2026:15:30:27 +0530] ""GET /dashboard/AND%20(SELECT%20*%20FROM%20(SELECT(SLEEP(5)))bAKL)%20AND%20'vRxe'='vRxe HTTP/1.1"" 403 300 ""-"" ""Mozilla/5.0""","2026-05-30T15:30:27.000+0530",,,,300,"223.237.49.95",,15,30,30,may,27,saturday,2026,330,,,,"AND%20(SELECT%20*%20FROM%20(SELECT(SLEEP(5)))bAKL)%20AND%20'vRxe'='vRxe",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_//%(%*%%((())))%%''='_/.""___""-",,"-",,"30/May/2026:15:30:27 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,403,,,,,45,19,,"/dashboard/AND%20(SELECT%20*%20FROM%20(SELECT(SLEEP(5)))bAKL)%20AND%20'vRxe'='vRxe",,"/dashboard/AND%20(SELECT%20*%20FROM%20(SELECT(SLEEP(5)))bAKL)%20AND%20'vRxe'='vRxe",,"-","Mozilla/5.0",,"'vRxe","HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:26 +0530] ""GET /dashboard/admin'%20or%201=1 HTTP/1.1"" 404 297 ""-"" ""ReconTool/1.0""","2026-05-30T15:30:26.000+0530",,,,297,"223.237.49.95",,15,30,30,may,26,saturday,2026,330,,,,"admin'%20or%201=1",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_//'%%=_/.""___""-""_""/.""",,"-",,"30/May/2026:15:30:26 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard/admin'%20or%201=1",,"/dashboard/admin'%20or%201=1",,"-","ReconTool/1.0",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:24 +0530] ""GET /dashboard/admin'or%201=1%20or%20''=' HTTP/1.1"" 404 297 ""-"" ""python-requests""","2026-05-30T15:30:24.000+0530",,,,297,"223.237.49.95",,15,30,30,may,24,saturday,2026,330,,,,"admin'or%201=1%20or%20''='",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_//'%=%%''='_/.""___""-""_""-""",,"-",,"30/May/2026:15:30:24 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard/admin'or%201=1%20or%20''='",,"/dashboard/admin'or%201=1%20or%20''='",,"-","python-requests",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:23 +0530] ""GET /dashboard//fuzz_2_1660.php HTTP/1.1"" 404 297 ""-"" ""Mozilla/5.0""","2026-05-30T15:30:23.000+0530",,,,297,"223.237.49.95",,15,30,30,may,23,saturday,2026,330,,,,"fuzz_2_1660.php",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_///._/.""___""-""_""/.""",,"-",,"30/May/2026:15:30:23 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard//fuzz_2_1660.php",,"/dashboard//fuzz_2_1660.php",,"-","Mozilla/5.0",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:21 +0530] ""GET /dashboard/admin'%20or%20'1'='1'-- HTTP/1.1"" 404 297 ""-"" ""ReconTool/1.0""","2026-05-30T15:30:21.000+0530",,,,297,"223.237.49.95",,15,30,30,may,21,saturday,2026,330,,,,"admin'%20or%20'1'='1'--",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_//'%%''=''--_/.""___""-""_""/.""",,"-",,"30/May/2026:15:30:21 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard/admin'%20or%20'1'='1'--",,"/dashboard/admin'%20or%20'1'='1'--",,"-","ReconTool/1.0",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:20 +0530] ""GET /dashboard//fuzz_20_1969.php HTTP/1.1"" 404 297 ""-"" ""curl/7.68.0""","2026-05-30T15:30:20.000+0530",,,,297,"223.237.49.95",,15,30,30,may,20,saturday,2026,330,,,,"fuzz_20_1969.php",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_///._/.""___""-""_""/..""",,"-",,"30/May/2026:15:30:20 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard//fuzz_20_1969.php",,"/dashboard//fuzz_20_1969.php",,"-","curl/7.68.0",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:18 +0530] ""GET /dashboard//fuzz_7_3899.php HTTP/1.1"" 404 297 ""-"" ""curl/7.68.0""","2026-05-30T15:30:18.000+0530",,,,297,"223.237.49.95",,15,30,30,may,18,saturday,2026,330,,,,"fuzz_7_3899.php",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_///._/.""___""-""_""/..""",,"-",,"30/May/2026:15:30:18 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard//fuzz_7_3899.php",,"/dashboard//fuzz_7_3899.php",,"-","curl/7.68.0",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:17 +0530] ""GET /dashboard/'))%20or%20(('x'))=(('x HTTP/1.1"" 404 297 ""-"" ""python-requests""","2026-05-30T15:30:17.000+0530",,,,297,"223.237.49.95",,15,30,30,may,17,saturday,2026,330,,,,"'))%20or%20(('x'))=(('x",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_//'))%%((''))=(('_/.""___""-""_""-",,"-",,"30/May/2026:15:30:17 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard/'))%20or%20(('x'))=(('x",,"/dashboard/'))%20or%20(('x'))=(('x",,"-","python-requests",,,"HTTP/1.1","(('x"
"223.237.49.95 - - [30/May/2026:15:30:16 +0530] ""GET /dashboard/1%20or%20sleep(5) HTTP/1.1"" 404 297 ""-"" ""Mozilla/5.0""","2026-05-30T15:30:16.000+0530",,,,297,"223.237.49.95",,15,30,30,may,16,saturday,2026,330,,,,"1%20or%20sleep(5)",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_//%%()_/.""___""-""_""/.""",,"-",,"30/May/2026:15:30:16 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard/1%20or%20sleep(5)",,"/dashboard/1%20or%20sleep(5)",,"-","Mozilla/5.0",,,"HTTP/1.1",
"223.237.49.95 - - [30/May/2026:15:30:14 +0530] ""GET /dashboard//fuzz_6_3861.php HTTP/1.1"" 404 297 ""-"" ""Mozilla/5.0""","2026-05-30T15:30:14.000+0530",,,,297,"223.237.49.95",,15,30,30,may,14,saturday,2026,330,,,,"fuzz_6_3861.php",,"EC2AMAZ-COTJ1IQ","-",web,,,1,GET,,,,,,,,"..._-_-_[//:::_+]_""_///._/.""___""-""_""/.""",,"-",,"30/May/2026:15:30:14 +0530",dashboard,,,"C:\xampp\apache\logs\access.log","access_combined","si-i-0a1630a6cc7c80189.prd-p-6qw0j.splunkcloud.com",,,404,,,,,45,19,,"/dashboard//fuzz_6_3861.php",,"/dashboard//fuzz_6_3861.php",,"-","Mozilla/5.0",,,"HTTP/1.1",
